## start manuelle nett
151.216.165.0/26 2a02:ed02:165a::/64 e3-2
151.216.170.0/24 2a02:ed02:170::/64 crew
151.216.171.64/26 2a02:ed02:171b::/64 sw1-crew
151.216.171.128/26 2a02:ed02:171c::/64 sw2-crew
151.216.171.192/26 2a02:ed02:171d::/64 sw3-crew
151.216.178.0/26 2a02:ed02:178a::/64 ap-distro0
151.216.178.128/26 2a02:ed02:178c::/64 ap-distro2
151.216.178.192/26 2a02:ed02:178d::/64 ap-distro3
151.216.178.64/26 2a02:ed02:178b::/64 ap-distro1
151.216.179.0/26 2a02:ed02:179a::/64 ap-distro4
151.216.179.128/26 2a02:ed02:179c::/64 ap-distro6
151.216.179.192/26 2a02:ed02:179d::/64 ap-distro7
151.216.179.64/26 2a02:ed02:179b::/64 ap-distro5
151.216.192.0/19 2a02:ed02:192::/64 tg15-wlan
151.216.224.0/24 2a02:ed02:224::/64 logistikk
151.216.226.0/24 2a02:ed02:226::/64 presse
151.216.227.0/24 2a02:ed02:227::/64 fugleberget1
151.216.229.0/24 2a02:ed02:229::/64 game
151.216.230.0/24 2a02:ed02:230::/64 infodesk
151.216.232.0/24 2a02:ed02:232::/64 resepsjon
151.216.233.0/24 2a02:ed02:233::/64 sponsor 
151.216.234.0/24 2a02:ed02:234::/64 lounge
151.216.235.0/24 2a02:ed02:235::/64 stage
151.216.236.0/24 2a02:ed02:236::/64 medic
151.216.237.0/24 2a02:ed02:237::/64 gamecrew
151.216.240.0/24 2a02:ed02:240::/64 studio
151.216.241.0/24 2a02:ed02:241::/64 motell
151.216.243.0/24 2a02:ed02:243::/64 nextron
151.216.244.0/24 2a02:ed02:244::/64 event-north
151.216.249.0/26 2a02:ed02:249a::/64 southcam
151.216.254.0/24 2a02:ed02:254::/64 noc
## slutt manuelle nett
# make netlist.txt from switches.txt;
#   cat switches.txt | perl -lne '($n,$v4,$v6)=split;print "$v4 $v6 $n";'
## start creativia
151.216.166.0/26 2a02:ed02:166a::/64 creativia1
151.216.166.64/26 2a02:ed02:166b::/64 creativia2
151.216.166.128/26 2a02:ed02:166c::/64 creativia3
151.216.166.192/26 2a02:ed02:166d::/64 creativia4
151.216.167.0/26 2a02:ed02:167a::/64 creativia5
151.216.167.64/26 2a02:ed02:167b::/64 creativia6
151.216.167.128/26 2a02:ed02:167c::/64 creativia7
151.216.167.192/26 2a02:ed02:167d::/64 creativia8
## slutt creativia
## start switches.txt
151.216.129.0/26 2a02:ed02:129a::/64 e1-3
151.216.129.64/26 2a02:ed02:129b::/64 e3-3
151.216.129.128/26 2a02:ed02:129c::/64 e3-4
151.216.129.192/26 2a02:ed02:129d::/64 e5-2
151.216.130.0/26 2a02:ed02:130a::/64 e5-3
151.216.130.64/26 2a02:ed02:130b::/64 e5-4
151.216.130.128/26 2a02:ed02:130c::/64 e7-2
151.216.130.192/26 2a02:ed02:130d::/64 e7-3
151.216.131.0/26 2a02:ed02:131a::/64 e7-4
151.216.131.64/26 2a02:ed02:131b::/64 e9-2
151.216.131.128/26 2a02:ed02:131c::/64 e9-3
151.216.131.192/26 2a02:ed02:131d::/64 e9-4
151.216.132.0/26 2a02:ed02:132a::/64 e11-1
151.216.132.64/26 2a02:ed02:132b::/64 e11-2
151.216.132.128/26 2a02:ed02:132c::/64 e11-3
151.216.132.192/26 2a02:ed02:132d::/64 e11-4
151.216.133.0/26 2a02:ed02:133a::/64 e13-1
151.216.133.64/26 2a02:ed02:133b::/64 e13-2
151.216.133.128/26 2a02:ed02:133c::/64 e13-3
151.216.133.192/26 2a02:ed02:133d::/64 e13-4
151.216.134.0/26 2a02:ed02:134a::/64 e15-1
151.216.134.64/26 2a02:ed02:134b::/64 e15-2
151.216.134.128/26 2a02:ed02:134c::/64 e15-3
151.216.134.192/26 2a02:ed02:134d::/64 e15-4
151.216.135.0/26 2a02:ed02:135a::/64 e17-1
151.216.135.64/26 2a02:ed02:135b::/64 e17-2
151.216.135.128/26 2a02:ed02:135c::/64 e17-3
151.216.135.192/26 2a02:ed02:135d::/64 e17-4
151.216.136.0/26 2a02:ed02:136a::/64 e19-1
151.216.136.64/26 2a02:ed02:136b::/64 e19-2
151.216.136.128/26 2a02:ed02:136c::/64 e19-3
151.216.136.192/26 2a02:ed02:136d::/64 e19-4
151.216.137.0/26 2a02:ed02:137a::/64 e21-1
151.216.137.64/26 2a02:ed02:137b::/64 e21-2
151.216.137.128/26 2a02:ed02:137c::/64 e21-3
151.216.137.192/26 2a02:ed02:137d::/64 e21-4
151.216.138.0/26 2a02:ed02:138a::/64 e23-1
151.216.138.64/26 2a02:ed02:138b::/64 e23-2
151.216.138.128/26 2a02:ed02:138c::/64 e23-3
151.216.138.192/26 2a02:ed02:138d::/64 e23-4
151.216.139.0/26 2a02:ed02:139a::/64 e25-1
151.216.139.64/26 2a02:ed02:139b::/64 e25-2
151.216.139.128/26 2a02:ed02:139c::/64 e25-3
