# manually added networks





# added initially when bootstrapping
185.110.150.0/25 2a06:5841:150a::/64 noc
185.110.151.0/27 2a06:5841:151a::/64 tech-wlan

88.92.96.0/19 2a06:5840:96::/64 wlan

88.92.51.0/26 2a06:5840:51a::/64 ap-distro0
88.92.51.64/26 2a06:5840:51b::/64 ap-distro1
88.92.51.128/26 2a06:5840:51c::/64 ap-distro2
88.92.51.192/26 2a06:5840:51d::/64 ap-distro3

88.92.52.0/26 2a06:5840:52a::/64 ap-distro4
88.92.52.64/26 2a06:5840:52b::/64 ap-distro5
88.92.52.128/26 2a06:5840:52c::/64 ap-distro6
88.92.52.192/26 2a06:5840:52d::/64 ap-distro7

88.92.53.0/26 2a06:5840:53a::/64 ap-distro8
88.92.53.64/26 2a06:5840:53b::/64 ap-stand
88.92.53.128/25 2a06:5840:53c::/64 ap-ring



# from switches.txt
88.92.0.0/26 2a06:5840:0a::/64 e1-3
88.92.0.64/26 2a06:5840:0b::/64 e1-4
88.92.0.128/26 2a06:5840:0c::/64 e3-1
88.92.0.192/26 2a06:5840:0d::/64 e3-2
88.92.1.0/26 2a06:5840:1a::/64 e3-3
88.92.1.64/26 2a06:5840:1b::/64 e3-4
88.92.1.128/26 2a06:5840:1c::/64 e5-1
88.92.1.192/26 2a06:5840:1d::/64 e5-2
88.92.2.0/26 2a06:5840:2a::/64 e5-3
88.92.2.64/26 2a06:5840:2b::/64 e5-4
88.92.2.128/26 2a06:5840:2c::/64 e7-1
88.92.2.192/26 2a06:5840:2d::/64 e7-2
88.92.3.0/26 2a06:5840:3a::/64 e7-3
88.92.3.64/26 2a06:5840:3b::/64 e7-4
88.92.3.128/26 2a06:5840:3c::/64 e9-1
88.92.3.192/26 2a06:5840:3d::/64 e9-2
88.92.4.0/26 2a06:5840:4a::/64 e9-3
88.92.4.64/26 2a06:5840:4b::/64 e9-4
88.92.4.128/26 2a06:5840:4c::/64 e11-1
88.92.4.192/26 2a06:5840:4d::/64 e11-2
88.92.5.0/26 2a06:5840:5a::/64 e11-3
88.92.5.64/26 2a06:5840:5b::/64 e11-4
88.92.5.128/26 2a06:5840:5c::/64 e13-1
88.92.5.192/26 2a06:5840:5d::/64 e13-2
88.92.6.0/26 2a06:5840:6a::/64 e13-3
88.92.6.64/26 2a06:5840:6b::/64 e13-4
88.92.6.128/26 2a06:5840:6c::/64 e15-1
88.92.6.192/26 2a06:5840:6d::/64 e15-2
88.92.7.0/26 2a06:5840:7a::/64 e15-3
88.92.7.64/26 2a06:5840:7b::/64 e15-4
88.92.7.128/26 2a06:5840:7c::/64 e17-1
88.92.7.192/26 2a06:5840:7d::/64 e17-2
88.92.8.0/26 2a06:5840:8a::/64 e17-3
88.92.8.64/26 2a06:5840:8b::/64 e17-4
88.92.8.128/26 2a06:5840:8c::/64 e19-1
88.92.8.192/26 2a06:5840:8d::/64 e19-2
88.92.9.0/26 2a06:5840:9a::/64 e19-3
88.92.9.64/26 2a06:5840:9b::/64 e19-4
88.92.9.128/26 2a06:5840:9c::/64 e21-1
88.92.9.192/26 2a06:5840:9d::/64 e21-2
88.92.10.0/26 2a06:5840:10a::/64 e23-1
88.92.10.64/26 2a06:5840:10b::/64 e23-2
88.92.10.128/26 2a06:5840:10c::/64 e25-1
88.92.10.192/26 2a06:5840:10d::/64 e25-2
88.92.11.0/26 2a06:5840:11a::/64 e27-1
88.92.11.64/26 2a06:5840:11b::/64 e27-2
88.92.11.128/26 2a06:5840:11c::/64 e29-1
88.92.11.192/26 2a06:5840:11d::/64 e29-2
88.92.12.0/26 2a06:5840:12a::/64 e31-1
88.92.12.64/26 2a06:5840:12b::/64 e31-2
88.92.12.128/26 2a06:5840:12c::/64 e33-1
88.92.12.192/26 2a06:5840:12d::/64 e33-2
88.92.13.0/26 2a06:5840:13a::/64 e35-1
88.92.13.64/26 2a06:5840:13b::/64 e35-2
88.92.13.128/26 2a06:5840:13c::/64 e37-1
88.92.13.192/26 2a06:5840:13d::/64 e37-2
88.92.14.0/26 2a06:5840:14a::/64 e37-3
88.92.14.64/26 2a06:5840:14b::/64 e37-4
88.92.14.128/26 2a06:5840:14c::/64 e39-1
88.92.14.192/26 2a06:5840:14d::/64 e39-2
88.92.15.0/26 2a06:5840:15a::/64 e39-3
88.92.15.64/26 2a06:5840:15b::/64 e39-4
88.92.15.128/26 2a06:5840:15c::/64 e41-1
88.92.15.192/26 2a06:5840:15d::/64 e41-2
88.92.16.0/26 2a06:5840:16a::/64 e41-3
88.92.16.64/26 2a06:5840:16b::/64 e41-4
88.92.16.128/26 2a06:5840:16c::/64 e43-1
88.92.16.192/26 2a06:5840:16d::/64 e43-2
88.92.17.0/26 2a06:5840:17a::/64 e43-3
88.92.17.64/26 2a06:5840:17b::/64 e43-4
88.92.17.128/26 2a06:5840:17c::/64 e45-1
88.92.17.192/26 2a06:5840:17d::/64 e45-2
88.92.18.0/26 2a06:5840:18a::/64 e45-3
88.92.18.64/26 2a06:5840:18b::/64 e45-4
88.92.18.128/26 2a06:5840:18c::/64 e47-1
88.92.18.192/26 2a06:5840:18d::/64 e47-2
88.92.19.0/26 2a06:5840:19a::/64 e47-3
88.92.19.64/26 2a06:5840:19b::/64 e47-4
88.92.19.128/26 2a06:5840:19c::/64 e49-1
88.92.19.192/26 2a06:5840:19d::/64 e49-2
88.92.20.0/26 2a06:5840:20a::/64 e49-3
88.92.20.64/26 2a06:5840:20b::/64 e49-4
88.92.20.128/26 2a06:5840:20c::/64 e51-1
88.92.20.192/26 2a06:5840:20d::/64 e51-2
88.92.21.0/26 2a06:5840:21a::/64 e51-3
88.92.21.64/26 2a06:5840:21b::/64 e51-4
88.92.21.128/26 2a06:5840:21c::/64 e53-1
88.92.21.192/26 2a06:5840:21d::/64 e53-2
88.92.22.0/26 2a06:5840:22a::/64 e53-3
88.92.22.64/26 2a06:5840:22b::/64 e53-4
88.92.22.128/26 2a06:5840:22c::/64 e55-1
88.92.22.192/26 2a06:5840:22d::/64 e55-2
88.92.23.0/26 2a06:5840:23a::/64 e55-3
88.92.23.64/26 2a06:5840:23b::/64 e55-4
88.92.23.128/26 2a06:5840:23c::/64 e57-1
88.92.23.192/26 2a06:5840:23d::/64 e57-2
88.92.24.0/26 2a06:5840:24a::/64 e57-3
88.92.24.64/26 2a06:5840:24b::/64 e57-4
88.92.24.128/26 2a06:5840:24c::/64 e59-1
88.92.24.192/26 2a06:5840:24d::/64 e59-2
88.92.25.0/26 2a06:5840:25a::/64 e59-3
88.92.25.64/26 2a06:5840:25b::/64 e59-4
88.92.25.128/26 2a06:5840:25c::/64 e61-1
88.92.25.192/26 2a06:5840:25d::/64 e61-2
88.92.26.0/26 2a06:5840:26a::/64 e61-3
88.92.26.64/26 2a06:5840:26b::/64 e61-4
88.92.26.128/26 2a06:5840:26c::/64 e63-1
88.92.26.192/26 2a06:5840:26d::/64 e63-2
88.92.27.0/26 2a06:5840:27a::/64 e63-3
88.92.27.64/26 2a06:5840:27b::/64 e63-4
88.92.27.128/26 2a06:5840:27c::/64 e65-1
88.92.27.192/26 2a06:5840:27d::/64 e65-2
88.92.28.0/26 2a06:5840:28a::/64 e65-3
88.92.28.64/26 2a06:5840:28b::/64 e65-4
88.92.28.128/26 2a06:5840:28c::/64 e67-1
88.92.28.192/26 2a06:5840:28d::/64 e67-2
88.92.29.0/26 2a06:5840:29a::/64 e67-3
88.92.29.64/26 2a06:5840:29b::/64 e67-4
88.92.29.128/26 2a06:5840:29c::/64 e69-1
88.92.29.192/26 2a06:5840:29d::/64 e69-2
88.92.30.0/26 2a06:5840:30a::/64 e69-3
88.92.30.64/26 2a06:5840:30b::/64 e69-4
88.92.30.128/26 2a06:5840:30c::/64 e71-1
88.92.30.192/26 2a06:5840:30d::/64 e71-2
88.92.31.0/26 2a06:5840:31a::/64 e71-3
88.92.31.64/26 2a06:5840:31b::/64 e71-4
88.92.31.128/26 2a06:5840:31c::/64 e73-1
88.92.31.192/26 2a06:5840:31d::/64 e73-2
88.92.32.0/26 2a06:5840:32a::/64 e73-3
88.92.32.64/26 2a06:5840:32b::/64 e73-4
88.92.32.128/26 2a06:5840:32c::/64 e75-1
88.92.32.192/26 2a06:5840:32d::/64 e75-2
88.92.33.0/26 2a06:5840:33a::/64 e75-3
88.92.33.64/26 2a06:5840:33b::/64 e75-4
88.92.33.128/26 2a06:5840:33c::/64 e77-1
88.92.33.192/26 2a06:5840:33d::/64 e77-2
88.92.34.0/26 2a06:5840:34a::/64 e77-3
88.92.34.64/26 2a06:5840:34b::/64 e77-4
88.92.34.128/26 2a06:5840:34c::/64 e79-1
88.92.34.192/26 2a06:5840:34d::/64 e79-2
88.92.35.0/26 2a06:5840:35a::/64 e79-3
88.92.35.64/26 2a06:5840:35b::/64 e79-4
88.92.35.128/26 2a06:5840:35c::/64 e81-2
88.92.35.192/26 2a06:5840:35d::/64 e81-3
88.92.36.0/26 2a06:5840:36a::/64 e81-4
