e1-3 distro0 Gi1/1 Gi1/2 Gi1/3
e1-4 distro0 Gi1/4 Gi1/5 Gi1/6
e3-3 distro0 Gi1/7 Gi1/8 Gi1/9
e3-4 distro0 Gi1/10 Gi1/11 Gi1/12
e5-3 distro0 Gi1/13 Gi1/14 Gi1/15
e5-4 distro0 Gi1/16 Gi1/17 Gi1/18
e7-3 distro0 Gi1/19 Gi1/20 Gi1/21
e7-4 distro0 Gi1/22 Gi1/23 Gi1/24
e9-3 distro0 Gi1/25 Gi1/26 Gi1/27
e9-4 distro0 Gi1/28 Gi1/29 Gi1/30
e11-1 distro2 Gi1/1 Gi2/1 Gi5/1 Gi6/1
e11-2 distro2 Gi1/2 Gi2/2 Gi5/2 Gi6/2
e11-3 distro1 Gi1/1 Gi2/1 Gi5/1 Gi6/1
e11-4 distro1 Gi1/2 Gi2/2 Gi5/2 Gi6/2
e13-1 distro2 Gi1/3 Gi2/3 Gi5/3 Gi6/3
e13-2 distro2 Gi1/4 Gi2/4 Gi5/4 Gi6/4
e13-3 distro1 Gi1/3 Gi2/3 Gi5/3 Gi6/3
e13-4 distro1 Gi1/4 Gi2/4 Gi5/4 Gi6/4
e15-1 distro2 Gi1/5 Gi2/5 Gi5/5 Gi6/5
e15-2 distro2 Gi1/6 Gi2/6 Gi5/6 Gi6/6
e15-3 distro1 Gi1/5 Gi2/5 Gi5/5 Gi6/5
e15-4 distro1 Gi1/6 Gi2/6 Gi5/6 Gi6/6
e17-1 distro2 Gi1/7 Gi2/7 Gi5/7 Gi6/7
e17-2 distro2 Gi1/8 Gi2/8 Gi5/8 Gi6/8
e17-3 distro1 Gi1/7 Gi2/7 Gi5/7 Gi6/7
e17-4 distro1 Gi1/8 Gi2/8 Gi5/8 Gi6/8
e19-1 distro2 Gi1/9 Gi2/9 Gi5/9 Gi6/9
e19-2 distro2 Gi1/10 Gi2/10 Gi5/10 Gi6/10
e19-3 distro1 Gi1/9 Gi2/9 Gi5/9 Gi6/9
e19-4 distro1 Gi1/10 Gi2/10 Gi5/10 Gi6/10
e21-1 distro2 Gi1/11 Gi2/11 Gi5/11 Gi6/11
e21-2 distro2 Gi1/12 Gi2/12 Gi5/12 Gi6/12
e21-3 distro1 Gi1/11 Gi2/11 Gi5/11 Gi6/11
e21-4 distro1 Gi1/12 Gi2/12 Gi5/12 Gi6/12
e23-1 distro2 Gi1/13 Gi2/13 Gi5/13 Gi6/13
e23-2 distro2 Gi1/14 Gi2/14 Gi5/14 Gi6/14
e23-3 distro1 Gi1/13 Gi2/13 Gi5/13 Gi6/13
e23-4 distro1 Gi1/14 Gi2/14 Gi5/14 Gi6/14
e25-1 distro2 Gi1/15 Gi2/15 Gi5/15 Gi6/15
e25-2 distro2 Gi1/16 Gi2/16 Gi5/16 Gi6/16
e25-3 distro1 Gi1/15 Gi2/15 Gi5/15 Gi6/15
e25-4 distro1 Gi1/16 Gi2/16 Gi5/16 Gi6/16
e27-1 distro2 Gi1/17 Gi2/17 Gi5/17 Gi6/17
